"Date de déclaration du cas","Cas confirmés","Moyenne mobile (7 jours)","Annotations 1"
"2020-02-24 00:00:00",0,0,14
"2020-02-25 00:00:00",1,0,14
"2020-02-26 00:00:00",0,0,14
"2020-02-27 00:00:00",0,0,14
"2020-02-28 00:00:00",0,0,43
"2020-02-29 00:00:00",0,0,29
"2020-03-01 00:00:00",0,0,29
"2020-03-02 00:00:00",2,0,29
"2020-03-03 00:00:00",0,0,29
"2020-03-04 00:00:00",0,0,29
"2020-03-05 00:00:00",0,0,43
"2020-03-06 00:00:00",0,0,29
"2020-03-07 00:00:00",0,0,57
"2020-03-08 00:00:00",1,1
"2020-03-09 00:00:00",1,1,43
"2020-03-10 00:00:00",2,1,71
"2020-03-11 00:00:00",3,2,43
"2020-03-12 00:00:00",3,3,14
"2020-03-13 00:00:00",2,3,71
"2020-03-14 00:00:00",5,4,43
"2020-03-15 00:00:00",6,4,86
"2020-03-16 00:00:00",5,9,57
"2020-03-17 00:00:00",7,16,29
"2020-03-18 00:00:00",6,28,43
"2020-03-19 00:00:00",36,40,43
"2020-03-20 00:00:00",49,58,71
"2020-03-21 00:00:00",90,78,29
"2020-03-22 00:00:00",90,104,14
"2020-03-23 00:00:00",133,124,71
"2020-03-24 00:00:00",144,152,43
"2020-03-25 00:00:00",187,168,14
"2020-03-26 00:00:00",180,192,29
"2020-03-27 00:00:00",243,211,29
"2020-03-28 00:00:00",200,238
"2020-03-29 00:00:00",259,254,86
"2020-03-30 00:00:00",266,287,43
"2020-03-31 00:00:00",331,302,43
"2020-04-01 00:00:00",305,322,43
"2020-04-02 00:00:00",408,322,71
"2020-04-03 00:00:00",348,349,86
"2020-04-04 00:00:00",340,363
"2020-04-05 00:00:00",261,373
"2020-04-06 00:00:00",456,364,71
"2020-04-07 00:00:00",423,358,57
"2020-04-08 00:00:00",375,347,71
"2020-04-09 00:00:00",350,357,43
"2020-04-10 00:00:00",305,369,71
"2020-04-11 00:00:00",264,376,29
"2020-04-12 00:00:00",329,410,29
"2020-04-13 00:00:00",542,431,29
"2020-04-14 00:00:00",469,469,29
"2020-04-15 00:00:00",613,478,57
"2020-04-16 00:00:00",497,493,29
"2020-04-17 00:00:00",571,484,57
"2020-04-18 00:00:00",329,483,43
